Frame,Fish_ID,Center_X,Center_Y
9,2,531,167
10,2,530,167
11,2,527,168
12,2,527,171
13,2,526,173
14,2,525,175
15,2,516,179
16,2,512,180
17,2,511,183
17,3,79,48
18,2,508,187
18,3,83,55
19,2,508,189
19,3,87,58
20,2,505,189
20,3,92,61
21,2,503,187
21,3,98,64
22,2,503,186
22,3,101,66
23,2,505,184
23,3,108,69
24,2,507,181
24,3,113,77
25,2,513,179
25,3,118,81
26,2,517,176
26,3,122,83
27,2,524,171
27,3,125,85
28,2,527,170
28,3,126,85
29,2,529,165
29,3,135,85
30,2,537,161
30,3,147,83
31,2,545,157
31,3,163,79
32,2,551,152
32,3,171,75
32,7,236,130
33,2,557,149
33,3,182,71
33,7,242,129
34,2,559,148
34,3,186,69
34,7,244,128
34,9,192,266
35,2,568,146
35,3,196,64
35,7,245,129
35,9,201,265
36,2,578,144
36,3,201,60
36,7,244,130
36,9,211,261
37,2,587,140
37,3,208,55
37,7,243,130
37,9,220,253
38,2,594,135
38,3,220,50
38,7,242,130
38,9,228,245
39,2,599,130
39,3,227,44
39,7,239,130
40,2,600,129
40,7,238,130
41,2,609,127
41,7,238,130
41,9,242,213
42,2,623,124
42,7,239,128
42,9,248,200
43,2,638,121
43,7,240,127
43,9,255,193
44,2,649,117
44,7,238,127
44,12,677,201
45,2,660,112
45,7,238,129
45,12,676,193
46,2,663,111
46,7,238,130
46,12,675,191
47,2,672,111
47,7,246,131
47,12,675,186
48,2,682,109
48,12,674,179
49,2,688,106
49,12,670,172
50,12,666,165
50,14,322,112
51,12,659,155
51,14,331,108
52,12,656,152
52,14,335,107
53,2,690,96
53,12,654,148
53,14,345,97
54,2,688,93
54,12,652,142
55,2,683,90
55,12,646,136
56,2,682,87
56,12,639,127
57,2,685,84
57,12,633,121
58,2,686,84
58,12,627,114
59,2,682,79
59,12,618,102
60,2,678,74
60,12,612,91
61,2,674,69
61,12,606,79
62,2,673,64
62,12,603,71
63,2,669,59
63,12,599,62
64,2,669,58
64,12,599,59
65,2,665,52
65,12,598,52
66,2,661,46
76,2,611,44
81,16,418,52
82,16,416,55
83,16,408,59
84,16,400,69
85,16,391,79
86,16,384,83
87,16,377,88
88,16,375,89
89,16,374,91
90,16,370,96
91,16,352,107
94,20,307,141
95,20,305,146
96,20,296,158
97,20,287,168
98,20,282,176
99,20,274,185
100,20,271,188
101,17,689,142
101,20,266,195
102,17,686,139
102,20,264,198
103,20,254,205
104,20,248,209
105,20,244,214
106,20,239,219
107,20,237,219
108,20,234,221
109,20,231,222
109,23,87,135
110,20,227,225
110,23,95,140
111,20,225,226
111,23,101,147
111,26,601,77
112,20,220,229
112,23,109,149
112,26,596,73
113,23,112,149
113,26,594,71
113,16,225,226
114,23,122,150
114,26,589,68
114,16,218,230
115,23,125,152
115,26,589,67
115,16,214,232
116,23,129,152
116,26,576,62
116,16,211,233
117,23,138,149
117,26,568,60
117,16,210,236
118,23,137,153
118,26,561,58
118,16,209,239
119,23,136,153
119,26,560,58
119,16,209,239
120,23,143,153
120,26,554,59
120,16,208,240
121,23,150,153
121,26,549,60
121,16,208,241
122,23,157,153
122,26,548,61
122,16,210,243
123,23,162,151
123,26,546,61
123,16,213,249
124,23,172,151
124,26,540,60
124,16,213,256
125,23,174,151
125,26,538,59
125,16,212,259
126,23,179,152
126,26,529,60
126,16,208,263
127,23,184,152
127,26,523,61
127,16,204,269
128,23,188,150
128,26,516,62
128,16,201,279
129,23,197,148
129,26,508,68
129,16,197,287
130,23,207,146
130,26,500,70
130,16,191,293
131,23,210,145
131,26,498,72
131,16,190,295
132,23,216,146
132,26,486,75
132,16,187,300
133,23,220,146
133,26,473,80
133,16,188,302
134,23,225,147
134,26,463,82
134,16,184,309
135,23,226,147
135,26,451,88
135,16,176,320
136,23,232,145
136,26,442,90
136,16,174,323
137,23,234,143
137,26,439,91
137,16,173,324
138,23,237,142
138,26,429,93
138,16,172,328
139,23,239,140
139,26,416,94
139,16,170,328
140,23,246,138
140,26,401,93
140,16,174,326
141,23,253,137
141,26,389,93
141,16,181,321
142,23,256,136
142,26,379,91
142,16,186,318
143,23,257,136
143,26,376,91
143,16,188,317
144,23,259,135
144,26,366,91
144,16,195,318
145,23,265,134
145,26,358,90
145,16,208,318
146,23,272,137
146,16,221,318
147,23,277,141
147,16,236,319
147,29,329,63
148,23,279,145
148,16,252,322
148,29,329,65
149,23,279,146
149,16,258,324
149,29,329,65
149,30,137,355
150,23,282,148
150,16,265,325
150,29,330,65
150,30,140,350
151,23,284,146
151,28,687,264
151,29,333,65
151,30,142,343
152,23,287,144
152,28,676,266
152,29,336,64
152,30,144,337
153,23,288,143
153,28,665,268
153,29,343,67
153,30,147,333
154,23,285,145
154,28,656,270
154,29,348,66
154,30,149,326
155,23,284,145
155,28,654,271
155,29,349,65
155,30,149,324
156,28,647,274
156,29,354,64
156,30,149,318
156,16,301,331
157,28,640,278
157,29,356,60
157,30,147,310
157,16,309,338
157,23,268,157
158,28,636,280
158,29,358,59
158,30,151,303
158,16,316,344
158,23,263,164
159,28,634,280
159,29,362,57
159,30,157,295
159,16,322,348
159,23,260,167
160,28,633,281
160,29,376,57
160,30,159,285
160,16,327,352
160,23,248,174
161,28,633,281
161,29,381,56
161,30,159,282
161,16,329,354
161,23,243,177
162,28,632,280
162,29,391,58
162,30,162,271
162,16,336,359
162,23,237,181
163,28,631,279
163,29,405,61
163,30,163,261
163,16,341,364
163,23,232,184
164,28,631,278
164,29,418,66
164,30,161,250
164,16,345,369
164,23,227,186
165,28,633,276
165,29,420,66
165,30,164,240
165,16,351,373
165,23,225,185
166,28,637,272
166,29,435,74
166,30,167,232
166,16,367,382
166,23,222,184
167,28,638,270
167,30,168,229
167,16,374,386
167,23,221,184
168,28,644,268
168,30,169,225
168,23,217,184
169,28,648,263
169,30,172,218
169,16,386,387
169,23,218,183
170,28,655,258
170,30,175,213
170,16,389,385
170,23,216,179
171,28,658,252
171,30,179,209
171,16,392,384
171,23,214,175
172,28,661,243
172,30,180,205
172,16,405,388
172,23,210,168
172,32,88,50
173,28,663,239
173,30,179,206
173,23,208,167
173,32,86,51
174,28,665,232
174,30,180,204
174,23,206,163
174,32,85,49
175,28,666,227
175,30,181,202
175,23,208,161
175,32,86,47
176,28,670,224
176,30,185,202
176,23,208,158
176,32,88,47
177,28,675,219
177,30,187,206
177,23,204,160
177,32,89,47
177,35,536,200
178,28,680,218
178,30,196,211
178,23,206,163
178,32,91,48
178,35,542,212
179,28,682,217
179,30,199,214
179,23,206,164
179,32,91,48
179,35,544,216
180,28,685,218
180,30,212,220
180,23,209,169
180,32,97,48
180,35,551,219
181,28,690,221
181,23,209,175
181,32,106,48
181,35,554,222
182,23,204,180
182,32,122,44
182,35,554,227
183,23,193,191
183,35,553,235
184,23,183,207
184,32,153,44
185,23,179,214
185,32,157,47
186,23,176,225
186,32,160,51
187,23,168,237
187,32,160,54
188,23,165,242
188,32,162,54
188,37,311,244
189,23,161,253
189,32,169,50
189,37,320,247
190,23,142,275
190,37,331,248
191,23,135,283
191,37,334,248
192,23,126,294
192,37,338,248
193,23,125,299
193,37,342,247
193,32,198,60
194,23,127,311
194,37,347,246
194,32,207,64
195,23,112,324
195,37,353,248
195,32,215,65
196,23,103,338
196,37,360,250
196,32,227,68
197,23,98,343
197,37,361,250
197,32,229,69
197,38,498,302
198,23,96,350
198,37,363,251
198,32,240,68
198,38,492,302
199,23,91,357
199,37,370,251
199,32,259,76
199,38,487,306
200,23,88,362
200,37,369,247
200,32,273,76
200,38,485,308
201,23,84,366
201,37,368,236
201,32,286,81
201,38,484,310
202,23,81,370
202,37,370,226
202,32,296,83
202,38,484,311
203,23,80,370
203,37,370,221
203,32,301,84
203,38,484,311
204,37,374,217
204,32,309,86
204,38,483,311
205,37,378,208
205,32,317,87
205,38,483,312
206,37,376,197
206,32,331,92
206,38,481,313
207,37,376,189
207,32,336,92
207,38,480,314
208,37,382,184
208,32,351,94
208,38,479,313
209,37,386,181
209,32,357,95
209,38,478,314
210,37,388,170
210,32,369,94
210,38,478,314
211,37,394,167
211,32,375,93
211,38,483,312
212,37,391,159
212,32,387,94
212,38,485,312
213,37,391,156
213,32,415,94
213,38,488,310
213,40,661,152
214,37,388,149
214,32,427,92
214,38,491,308
214,40,662,149
215,37,386,147
215,32,431,91
215,38,493,308
215,40,662,149
216,37,384,136
216,32,455,89
216,38,495,307
216,40,664,146
217,37,385,131
217,32,470,87
217,38,500,308
217,40,665,144
218,32,486,87
218,38,508,308
218,40,667,141
219,32,491,84
219,38,513,310
219,40,668,140
220,32,492,82
220,38,521,313
220,40,669,139
221,32,491,82
221,38,523,313
221,40,669,139
222,32,493,80
222,38,525,316
222,40,671,138
223,32,498,79
223,38,529,314
223,40,673,138
224,32,503,77
224,38,531,312
224,40,675,137
225,32,511,73
225,38,531,309
225,40,676,135
226,32,516,71
226,38,530,309
226,40,675,133
227,32,518,70
227,38,529,309
227,40,675,132
228,32,526,66
228,38,529,308
228,40,669,130
229,32,534,62
229,38,530,305
229,40,666,127
230,32,538,60
230,38,528,303
230,40,660,126
231,32,542,58
231,38,531,300
231,40,656,126
232,32,548,55
232,38,531,294
232,40,652,125
233,32,550,54
233,38,531,293
233,40,651,125
234,32,556,52
234,38,528,286
234,40,649,126
235,32,565,49
235,38,524,280
235,40,648,127
236,32,568,44
236,38,521,273
236,40,648,128
237,38,518,270
237,40,648,131
238,38,515,268
238,40,644,136
239,38,513,267
239,40,645,136
240,38,507,265
240,40,641,140
241,38,499,262
241,40,640,145
242,38,494,256
242,40,638,149
243,38,487,252
243,40,636,153
244,38,477,247
244,40,635,157
245,38,474,245
245,40,635,159
246,38,466,242
246,40,636,161
247,38,455,234
247,40,637,162
248,38,449,229
248,40,637,162
249,38,443,225
249,40,636,164
250,38,433,223
250,40,632,168
251,38,432,222
251,40,633,168
252,38,425,215
252,40,633,168
253,38,418,208
253,40,635,168
254,38,413,202
254,40,637,168
255,38,407,195
255,40,641,167
256,38,403,188
256,40,641,166
257,38,402,187
257,40,644,167
258,38,401,182
258,40,648,167
259,38,400,176
259,40,650,167
260,38,400,173
260,40,655,168
261,38,395,169
261,40,672,169
262,38,394,165
262,40,683,171
263,38,394,165
263,40,686,173
264,38,395,161
264,40,691,171
265,38,394,158
266,38,396,154
267,38,399,152
268,38,403,147
269,38,404,146
270,38,406,140
271,38,404,133
272,38,399,126
273,38,394,119
274,38,391,112
274,46,671,208
275,38,391,110
275,46,671,209
276,38,392,106
276,44,543,45
276,46,674,206
277,38,386,99
277,44,546,54
277,46,677,204
278,38,382,95
278,44,546,67
278,46,678,206
279,38,378,91
279,44,541,79
279,46,679,208
280,38,376,86
280,44,539,84
280,46,683,211
280,48,88,92
281,38,375,84
281,44,537,85
281,46,684,213
281,48,92,92
282,38,374,81
282,44,537,88
282,46,686,216
282,48,105,91
283,38,373,77
283,44,529,92
283,48,116,91
284,38,368,71
284,44,523,94
284,48,129,91
285,38,359,67
285,44,521,98
285,48,141,92
286,38,355,67
286,44,512,103
286,48,153,94
287,38,353,68
287,44,509,104
287,48,157,95
287,51,594,121
288,38,341,71
288,44,506,108
288,45,690,157
288,48,164,96
288,51,595,132
289,44,501,113
289,45,688,172
289,48,170,97
289,51,597,143
290,44,487,118
290,48,177,98
290,51,594,154
291,44,476,123
291,48,184,99
291,51,592,162
292,44,463,126
292,48,189,98
292,51,592,170
293,44,458,127
293,48,190,97
293,51,592,172
294,44,448,130
294,48,193,97
294,51,591,177
295,44,443,131
295,48,199,98
295,51,590,182
296,44,435,132
296,51,590,187
296,53,635,235
297,44,420,136
297,51,592,192
297,53,632,237
298,44,406,140
298,51,592,195
298,53,627,238
299,44,402,142
299,51,593,195
299,53,626,238
300,44,397,147
300,51,593,196
300,53,624,239
301,44,390,152
301,51,595,194
301,53,624,240
